image,variant,CER,WER
0001_ImageFile_{0A108ED7-FC32-45D2-B140-57964FE238DE}16,full_none_psm1,0.1016949152542373,0.5
0001_ImageFile_{0A108ED7-FC32-45D2-B140-57964FE238DE}16,full_none_psm3,0.1016949152542373,0.5
0001_ImageFile_{0A108ED7-FC32-45D2-B140-57964FE238DE}16,full_none_psm6,1.8644067796610169,5.375
0001_ImageFile_{0A108ED7-FC32-45D2-B140-57964FE238DE}16,full_otsu_bin_psm1,0.3389830508474576,1.0
0001_ImageFile_{0A108ED7-FC32-45D2-B140-57964FE238DE}16,full_otsu_bin_psm3,0.3389830508474576,1.0
0001_ImageFile_{0A108ED7-FC32-45D2-B140-57964FE238DE}16,full_otsu_bin_psm6,5.8474576271186445,16.125
0001_ImageFile_text_1,crop_none_psm1,0.15254237288135594,0.5
0001_ImageFile_text_1,crop_none_psm3,0.15254237288135594,0.5
0001_ImageFile_text_1,crop_none_psm6,0.13559322033898305,0.5
0001_ImageFile_text_1,crop_otsu_bin_psm1,0.06779661016949153,0.5
0001_ImageFile_text_1,crop_otsu_bin_psm3,0.06779661016949153,0.5
0001_ImageFile_text_1,crop_otsu_bin_psm6,0.05084745762711865,0.5
0002_ImageFile_{0BCE22E5-A353-4208-AEC3-3C5295A55EA2}10,full_none_psm1,0.08620689655172414,0.6
0002_ImageFile_{0BCE22E5-A353-4208-AEC3-3C5295A55EA2}10,full_none_psm3,0.08620689655172414,0.6
0002_ImageFile_{0BCE22E5-A353-4208-AEC3-3C5295A55EA2}10,full_none_psm6,1.7758620689655173,4.0
0002_ImageFile_{0BCE22E5-A353-4208-AEC3-3C5295A55EA2}10,full_otsu_bin_psm1,0.3793103448275862,0.5
0002_ImageFile_{0BCE22E5-A353-4208-AEC3-3C5295A55EA2}10,full_otsu_bin_psm3,0.3793103448275862,0.5
0002_ImageFile_{0BCE22E5-A353-4208-AEC3-3C5295A55EA2}10,full_otsu_bin_psm6,12.586206896551724,23.1
0002_ImageFile_text_1,crop_none_psm1,0.10344827586206896,0.6
0002_ImageFile_text_1,crop_none_psm3,0.10344827586206896,0.6
0002_ImageFile_text_1,crop_none_psm6,0.15517241379310345,0.7
0002_ImageFile_text_1,crop_otsu_bin_psm1,0.1206896551724138,0.7
0002_ImageFile_text_1,crop_otsu_bin_psm3,0.1206896551724138,0.7
0002_ImageFile_text_1,crop_otsu_bin_psm6,0.10344827586206896,0.7
0003_ImageFile_{0C19E755-3B3B-4C8D-BC0E-02E03ADCBA1D}1,full_none_psm1,0.057692307692307696,0.36363636363636365
0003_ImageFile_{0C19E755-3B3B-4C8D-BC0E-02E03ADCBA1D}1,full_none_psm3,0.057692307692307696,0.36363636363636365
0003_ImageFile_{0C19E755-3B3B-4C8D-BC0E-02E03ADCBA1D}1,full_none_psm6,4.096153846153846,13.727272727272727
0003_ImageFile_{0C19E755-3B3B-4C8D-BC0E-02E03ADCBA1D}1,full_otsu_bin_psm1,0.9903846153846154,1.1818181818181819
0003_ImageFile_{0C19E755-3B3B-4C8D-BC0E-02E03ADCBA1D}1,full_otsu_bin_psm3,0.9230769230769231,1.3636363636363635
0003_ImageFile_{0C19E755-3B3B-4C8D-BC0E-02E03ADCBA1D}1,full_otsu_bin_psm6,15.173076923076923,44.0
0003_ImageFile_text_1,crop_none_psm1,0.0673076923076923,0.36363636363636365
0003_ImageFile_text_1,crop_none_psm3,0.0673076923076923,0.36363636363636365
0003_ImageFile_text_1,crop_none_psm6,0.08653846153846154,0.5454545454545454
0003_ImageFile_text_1,crop_otsu_bin_psm1,0.08653846153846154,0.36363636363636365
0003_ImageFile_text_1,crop_otsu_bin_psm3,0.08653846153846154,0.36363636363636365
0003_ImageFile_text_1,crop_otsu_bin_psm6,0.08653846153846154,0.36363636363636365
0004_ImageFile_{0C19E755-3B3B-4C8D-BC0E-02E03ADCBA1D}24,full_none_psm1,0.8172043010752689,0.9090909090909091
0004_ImageFile_{0C19E755-3B3B-4C8D-BC0E-02E03ADCBA1D}24,full_none_psm3,0.8172043010752689,0.9090909090909091
0004_ImageFile_{0C19E755-3B3B-4C8D-BC0E-02E03ADCBA1D}24,full_none_psm6,7.333333333333333,19.636363636363637
0004_ImageFile_{0C19E755-3B3B-4C8D-BC0E-02E03ADCBA1D}24,full_otsu_bin_psm1,0.2903225806451613,0.7272727272727273
0004_ImageFile_{0C19E755-3B3B-4C8D-BC0E-02E03ADCBA1D}24,full_otsu_bin_psm3,0.2903225806451613,0.7272727272727273
0004_ImageFile_{0C19E755-3B3B-4C8D-BC0E-02E03ADCBA1D}24,full_otsu_bin_psm6,21.27956989247312,53.18181818181818
0004_ImageFile_text_1,crop_none_psm1,0.03225806451612903,0.18181818181818182
0004_ImageFile_text_1,crop_none_psm3,0.03225806451612903,0.18181818181818182
0004_ImageFile_text_1,crop_none_psm6,0.03225806451612903,0.45454545454545453
0004_ImageFile_text_1,crop_otsu_bin_psm1,0.021505376344086023,0.18181818181818182
0004_ImageFile_text_1,crop_otsu_bin_psm3,0.021505376344086023,0.18181818181818182
0004_ImageFile_text_1,crop_otsu_bin_psm6,0.06451612903225806,0.45454545454545453
0005_ImageFile_{0ED568EF-E9F6-4D1A-8476-7EC13F97B062}16,full_none_psm1,0.36764705882352944,1.0
0005_ImageFile_{0ED568EF-E9F6-4D1A-8476-7EC13F97B062}16,full_none_psm3,0.36764705882352944,1.0
0005_ImageFile_{0ED568EF-E9F6-4D1A-8476-7EC13F97B062}16,full_none_psm6,3.6029411764705883,12.142857142857142
0005_ImageFile_{0ED568EF-E9F6-4D1A-8476-7EC13F97B062}16,full_otsu_bin_psm1,0.38235294117647056,1.2857142857142858
0005_ImageFile_{0ED568EF-E9F6-4D1A-8476-7EC13F97B062}16,full_otsu_bin_psm3,0.38235294117647056,1.2857142857142858
0005_ImageFile_{0ED568EF-E9F6-4D1A-8476-7EC13F97B062}16,full_otsu_bin_psm6,9.102941176470589,27.428571428571427
0005_ImageFile_text_1,crop_none_psm1,0.058823529411764705,0.42857142857142855
0005_ImageFile_text_1,crop_none_psm3,0.058823529411764705,0.42857142857142855
0005_ImageFile_text_1,crop_none_psm6,0.058823529411764705,0.42857142857142855
0005_ImageFile_text_1,crop_otsu_bin_psm1,0.07352941176470588,0.5714285714285714
0005_ImageFile_text_1,crop_otsu_bin_psm3,0.07352941176470588,0.5714285714285714
0005_ImageFile_text_1,crop_otsu_bin_psm6,0.07352941176470588,0.5714285714285714
0006_ImageFile_{0F3BA1D5-D334-47C6-B148-F3DDDABB36B1}5,full_none_psm1,0.19718309859154928,0.8181818181818182
0006_ImageFile_{0F3BA1D5-D334-47C6-B148-F3DDDABB36B1}5,full_none_psm3,0.19718309859154928,0.8181818181818182
0006_ImageFile_{0F3BA1D5-D334-47C6-B148-F3DDDABB36B1}5,full_none_psm6,7.859154929577465,17.454545454545453
0006_ImageFile_{0F3BA1D5-D334-47C6-B148-F3DDDABB36B1}5,full_otsu_bin_psm1,0.2112676056338028,0.8181818181818182
0006_ImageFile_{0F3BA1D5-D334-47C6-B148-F3DDDABB36B1}5,full_otsu_bin_psm3,0.2112676056338028,0.8181818181818182
0006_ImageFile_{0F3BA1D5-D334-47C6-B148-F3DDDABB36B1}5,full_otsu_bin_psm6,12.690140845070422,25.454545454545453
0006_ImageFile_text_1,crop_none_psm1,0.19718309859154928,0.6363636363636364
0006_ImageFile_text_1,crop_none_psm3,0.19718309859154928,0.6363636363636364
0006_ImageFile_text_1,crop_none_psm6,0.43661971830985913,0.9090909090909091
0006_ImageFile_text_1,crop_otsu_bin_psm1,0.19718309859154928,0.7272727272727273
0006_ImageFile_text_1,crop_otsu_bin_psm3,0.19718309859154928,0.7272727272727273
0006_ImageFile_text_1,crop_otsu_bin_psm6,0.18309859154929578,0.7272727272727273
0007_ImageFile_{0F3BA1D5-D334-47C6-B148-F3DDDABB36B1}17,full_none_psm1,0.16071428571428573,0.7
0007_ImageFile_{0F3BA1D5-D334-47C6-B148-F3DDDABB36B1}17,full_none_psm3,0.16071428571428573,0.7
0007_ImageFile_{0F3BA1D5-D334-47C6-B148-F3DDDABB36B1}17,full_none_psm6,3.0357142857142856,6.6
0007_ImageFile_{0F3BA1D5-D334-47C6-B148-F3DDDABB36B1}17,full_otsu_bin_psm1,0.21428571428571427,0.7
0007_ImageFile_{0F3BA1D5-D334-47C6-B148-F3DDDABB36B1}17,full_otsu_bin_psm3,0.21428571428571427,0.7
0007_ImageFile_{0F3BA1D5-D334-47C6-B148-F3DDDABB36B1}17,full_otsu_bin_psm6,4.696428571428571,8.7
0007_ImageFile_text_1,crop_none_psm1,0.10714285714285714,0.7
0007_ImageFile_text_1,crop_none_psm3,0.10714285714285714,0.7
0007_ImageFile_text_1,crop_none_psm6,0.07142857142857142,0.6
0007_ImageFile_text_1,crop_otsu_bin_psm1,0.125,0.7
0007_ImageFile_text_1,crop_otsu_bin_psm3,0.125,0.7
